Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,To Grade
2013-01-28,29.643020629882812,29.72618945792472,29.4281649598944,29.643020629882812,13577000,0.0,0.0,4.0
2013-01-29,29.677665812883326,30.2182670102539,29.608358916154813,30.14896011352539,16429900,0.0,0.0,4.0
2013-01-30,30.065786976413307,30.467771678515163,30.038063164161247,30.225194931030273,16039900,0.0,0.0,4.0
2013-01-31,30.148955769281233,30.405394422892154,30.128164232036315,30.225194931030273,12880500,0.0,0.0,4.0
2013-02-01,30.634123542659122,31.07769413160254,30.571746263345876,30.88363265991211,17699900,0.0,0.0,4.0
2013-02-04,30.668766131812184,31.015305862115145,30.509358173139418,30.855897903442383,14188500,0.0,0.0,4.0
2013-02-05,30.987593029508016,31.10541795438382,30.86977074852147,30.88363265991211,9294200,0.0,0.0,4.0
2013-02-06,30.696498100125222,31.105415196278145,30.668774279802204,31.01531410217285,15116100,0.0,0.0,4.0
2013-02-07,30.93907415508305,31.015313337146313,30.578672431440598,30.814319610595703,8837200,0.0,0.0,4.0
2013-02-08,30.848975529274732,30.9182850839133,30.61332833128193,30.738082885742188,8161600,0.0,0.0,4.0
2013-02-11,30.703421341625535,30.80045204866786,30.578666820031557,30.717283248901367,5750100,0.0,0.0,4.0
2013-02-12,30.751953065476638,30.89750184740926,30.641060392126473,30.80046844482422,6329800,0.0,0.0,4.0
2013-02-13,30.8697598099211,30.980652417862515,30.689557669586097,30.855897903442383,7731800,0.0,0.0,4.0
2013-02-14,30.876697908530183,31.03610591091739,30.57174381403584,30.72422218322754,14665900,0.0,0.0,4.0
2013-02-15,30.765805225977157,30.92521322813534,30.606397223818977,30.772737503051758,11986200,0.0,0.0,4.0
2013-02-19,30.675695063516383,30.987581342453822,30.675695063516383,30.8420352935791,9638000,0.0,0.0,4.0
2013-02-20,30.73807214276863,31.334120884895114,30.731142511671266,31.133127212524414,23275400,0.0,0.0,4.0
2013-02-21,31.001454559437487,31.38264786437722,30.77273963402934,31.27175521850586,15118000,0.0,0.0,4.0
2013-02-22,31.34799348519484,31.493539582886008,30.99452401310356,31.465818405151367,18829500,0.0,0.0,4.0
2013-02-25,31.535120828780506,31.87473098563228,31.48660546978579,31.687599182128906,19945900,0.0,0.0,4.0
2013-02-26,31.826212050761473,32.02720575721876,31.74997552020853,31.964828491210938,18641800,0.0,0.0,4.0
2013-02-27,31.971765149351572,32.17275623946756,31.777701048568847,32.12424087524414,14803400,0.0,0.0,4.0
2013-02-28,32.12424598037639,32.52623351226967,32.0895925209796,32.249000549316406,17154700,0.0,0.0,4.0
2013-03-01,32.034140280737674,32.408401259152235,31.95790110094747,32.380680084228516,12749700,0.0,0.0,4.0
2013-03-04,32.366823141065666,32.65098571777344,32.29058394957761,32.65098571777344,9936900,0.0,0.0,4.0
2013-03-05,32.85197598533912,33.184653895189236,32.67177379840634,33.0529670715332,16390000,0.0,0.0,4.0
2013-03-06,33.12920049544594,33.17078621840594,32.67176811844024,32.768798828125,12203800,0.0,0.0,4.0
2013-03-07,32.851968498937126,32.969790741791265,32.72028170529027,32.907413482666016,10584700,0.0,0.0,4.0
2013-03-08,33.07375183093769,33.2539513226158,33.03909574371383,33.240089416503906,9991800,0.0,0.0,4.0
2013-03-11,33.17078855094421,33.24702772645432,32.95593293304197,33.13613510131836,9540100,0.0,0.0,4.0
2013-03-12,33.06684242191286,33.649029661758064,32.98367357161785,33.5173454284668,12637300,0.0,0.0,4.0
2013-03-13,33.52425886984015,33.66287531596391,33.12227408435894,33.226234436035156,13040900,0.0,0.0,4.0
2013-03-14,33.38563878449979,33.7252489082892,33.30246998344691,33.600494384765625,10588000,0.0,0.0,4.0
2013-03-15,33.399507146090386,33.53119397075042,33.01831387005724,33.28168487548828,16834000,0.0,0.0,3.0
2013-03-18,33.24010219874983,34.064868744291985,33.24010219874983,33.787635803222656,14772500,0.0,0.0,5.0
2013-03-19,33.891600813758046,34.02328501438481,33.65595359313316,33.92625427246094,13781300,0.0,0.0,5.0
2013-03-20,34.0025002457674,34.078736812554475,33.635166107404444,33.68368148803711,15013900,0.0,0.0,5.0
2013-03-21,33.496542855091334,33.87773615772904,33.46188675530582,33.822288513183594,12547800,0.0,0.0,5.0
2013-03-22,33.91239611685159,34.06487452470245,33.76684998784289,33.97477340698242,9484700,0.0,0.0,5.0
2013-03-25,34.092591778283825,34.26586171490755,33.94011603189975,34.071800231933594,12634400,0.0,0.0,3.0
2013-03-26,34.22426839049156,34.36981445920946,34.07179004580312,34.293575286865234,11663200,0.0,0.0,3.0
2013-03-27,34.17575285523178,34.23813011919679,33.78762736346185,33.9193115234375,12927500,0.0,0.0,3.0
2013-03-28,33.95396487191987,34.09257865274142,33.89158761299482,34.064857482910156,13567000,0.0,0.0,3.0
2013-04-01,34.0024877964425,34.22427306781531,33.9678316996307,34.113380432128906,6926600,0.0,0.0,3.0
2013-04-02,34.32824088831555,34.556958486321335,34.14110902918978,34.30744934082031,12082000,0.0,0.0,3.0
2013-04-03,34.25891824691479,34.362881224464275,33.725246740344915,33.95396423339844,14373500,0.0,0.0,3.0
2013-04-04,33.960892311094526,34.17574788771958,33.77376054639946,34.16881561279297,37100800,0.0,0.0,5.0
2013-04-05,33.99556120269745,34.362895267977166,33.92625428526551,34.34903335571289,39951100,0.0,0.0,5.0
2013-04-08,34.3105112984814,34.61866760253906,34.1564318106268,34.61866760253906,11467000,0.515,0.0,5.0
2013-04-09,34.68169818854102,34.75873792871675,34.42956910129369,34.56964111328125,8307600,0.0,0.0,5.0
2013-04-10,34.64667993147486,34.91981887817383,34.52761778937579,34.91981887817383,7868300,0.0,0.0,5.0
2013-04-11,34.88480533110714,35.46610062176255,34.88480533110714,35.37505340576172,13298600,0.0,0.0,5.0
2013-04-12,35.36104294263589,35.620174407958984,35.326022938641216,35.620174407958984,9150300,0.0,0.0,5.0
2013-04-15,35.4801062541869,35.7602502866142,35.199962221759606,35.46609878540039,14449400,0.0,0.0,3.0
2013-04-16,35.57815611259459,35.82328281059384,35.24898994459213,35.34003448486328,14919100,0.0,0.0,3.0
